Side,Route,Outer_window_m,Winner,LOOCV_RMSE_G,LOOCV_RMSE_P,LOOCV_RMSE_E,Runner_up,Winner_margin_pct
South,Field K,14,P,12.221444789261696,7.162754728490085,12.221444789261696,G,70.6249236854434
South,Fine LF,6,G,0.8622367354980528,1.4637305842208088,0.9374573739859351,E,8.723896279417124
South,Fine LF,7,P,1.3307288294206747,1.0478371139592695,1.3307288294206747,G,26.997680430739308
South,Fine LF,8,P,1.3460216037359172,0.8450870771387883,1.3460216037359172,G,59.27608410403614
South,Fine LF,9,P,1.5807418298572682,0.8045008200887553,1.5807418298572682,G,96.48728632531105
South,Fine LF,10,P,1.5894763522763973,0.7500295156767043,1.5894763522763973,G,111.9218402814872
South,Fine LF,12,P,1.8851869498666782,0.7218989388677162,1.8851869498666782,G,161.1427789080222
South,Fine LF,14,P,1.8951534795531737,0.692044292612899,1.8951534795531737,G,173.84858162730984
South,Fine HF,6,G,0.9611034241308939,1.307381734364991,1.0106203011678463,E,5.1520862160833
South,Fine HF,7,P,1.1636064528850247,1.0203389122524311,1.1636064528850247,G,14.041171900062684
South,Fine HF,8,P,1.3063171312039898,0.9109168671751554,1.3063171312039898,G,43.40684405757139
South,Fine HF,9,P,1.4270727948128514,0.8371936048874781,1.4270727948128514,G,70.45911321845982
South,Fine HF,10,P,1.535399048212709,0.7966440541214462,1.535399048212709,G,92.73338453595505
South,Fine HF,12,P,1.789472341222609,0.7679802130614636,1.789472341222609,G,133.01021442845334
South,Fine HF,14,P,1.7443298690124822,0.703313312543669,1.7443298690124822,G,148.01604603555347
South,Coarse LF,6,G,1.4572948468190572,2.702192686042207,1.6207240739080804,E,11.214561517578407
South,Coarse LF,7,G,1.4317357730361855,2.0197107228985542,1.8582726861129997,E,29.791594308793872
South,Coarse LF,8,P,1.490366204651359,1.2824429948122962,1.554176187008337,G,16.213056695708755
South,Coarse LF,9,P,1.7102714152599074,1.171306991355654,1.7109617321156265,G,46.01393382621782
South,Coarse LF,10,P,1.9194632529925297,1.3282179864094057,1.9194632529925297,G,44.51417407630862
South,Coarse LF,12,P,2.202972817921289,1.274410985033609,2.202972817921289,G,72.86203931012034
South,Coarse LF,14,P,2.4003970463507867,1.236747165889766,2.4003970463507867,G,94.08955302710105
South,Coarse HF,6,G,1.3975100275776962,2.5738885647498413,1.6246423206151264,E,16.25264138040702
South,Coarse HF,7,G,1.4110639135985195,1.900199676069178,1.7696955204293443,E,25.415688359305875
South,Coarse HF,8,G,1.4227430787703808,1.433551930583751,1.4693736219740625,P,0.7597191632597409
South,Coarse HF,9,P,1.684081589258391,1.3317237359653809,1.684081589258391,G,26.458779983941795
South,Coarse HF,10,P,1.9182500027117528,1.290682444273245,1.9182500027117528,G,48.62292512174653
South,Coarse HF,12,P,2.1460028702887866,1.236214801796642,2.1460028702887866,G,73.59465904872779
South,Coarse HF,14,P,2.3039898233371825,1.1937206277563999,2.3039898233371825,G,93.00913210049286
