Side,Route,Deleted_distance_m,Full_record_winner,Jackknife_winner,Matches_full_record,Winner_margin_pct,LOOCV_RMSE_G,LOOCV_RMSE_P,LOOCV_RMSE_E
South,Field K,6.0,P,P,True,132.5545653291103,10.891690141039037,4.683498741736229,10.891690141039037
South,Field K,7.0,P,P,True,77.58948367270361,12.47423245002672,7.024195460254087,12.47423245002672
South,Field K,8.0,P,P,True,71.48833158246678,11.677467169101844,6.809482057084614,11.677467169101844
South,Field K,9.0,P,P,True,96.24092652745155,13.012991017748577,6.631130033891391,13.012991017748577
South,Field K,10.0,P,P,True,72.21298306404593,13.04394983399836,7.574312692294123,13.04394983399836
South,Field K,12.0,P,P,True,84.71030366555433,13.97237954703978,7.564483014623194,13.97237954703978
South,Field K,14.0,P,P,True,52.312707780035915,11.249278611993,7.385646789392498,11.249278611993
South,Fine LF,1.0,P,P,True,74.30085058828467,1.6719024501513802,0.9592049863833276,1.6719024501513802
South,Fine LF,2.0,P,P,True,126.75943063317864,1.917916856679792,0.8457936462992552,1.917916856679792
South,Fine LF,3.0,P,P,True,274.96950291505505,1.9848293142302882,0.5293308652570414,1.9848293142302882
South,Fine LF,4.0,P,P,True,175.32409244587132,2.0215921838196387,0.7342590929332069,2.0215921838196387
South,Fine LF,5.0,P,P,True,137.424655200282,1.9330339793116007,0.8141673313923401,1.9330339793116007
South,Fine LF,6.0,P,P,True,92.43558420649619,1.7744211013722502,0.9220857507664374,1.7744211013722502
South,Fine LF,7.0,P,P,True,175.42979341969496,1.9331281466178343,0.7018587650291588,1.9331281466178343
South,Fine LF,8.0,P,P,True,163.68736879254263,1.9216613335744028,0.728765030488161,1.9216613335744028
South,Fine LF,9.0,P,P,True,181.2058471638364,2.0006041455975234,0.7114376055032489,2.0006041455975234
South,Fine LF,10.0,P,P,True,176.4723385958977,2.0148337226597244,0.7287650304881605,2.0148337226597244
South,Fine LF,12.0,P,P,True,194.6143387320647,2.095997196944632,0.7114376055032489,2.095997196944632
South,Fine LF,14.0,P,P,True,161.1427789080222,1.8851869498666782,0.7218989388677162,1.8851869498666782
South,Fine HF,1.0,P,P,True,46.66438728143941,1.5218529163882246,1.0376431147309728,1.5218529163882246
South,Fine HF,2.0,P,P,True,69.5594955475694,1.7701136476532324,1.0439484040318063,1.7701136476532324
South,Fine HF,3.0,P,P,True,330.4661015956529,1.7988886877995978,0.4178932280919385,1.7988886877995978
South,Fine HF,4.0,P,P,True,143.00872392367128,1.8660164239423245,0.767880425777816,1.8660164239423245
