Side,Route,Omitted_distance_m,Spearman_rho,TheilSen_slope
South,Fine LF,7.0,0.8401914075580906,0.5166666666666666
South,Fine LF,8.0,0.8838291723017182,0.5166666666666666
South,Fine LF,9.0,0.870161710874372,0.55
South,Fine LF,10.0,0.870161710874372,0.55
South,Fine LF,12.0,0.8838291723017182,0.55
South,Fine LF,14.0,0.7945288310603683,0.5599999999999999
South,Fine HF,1.0,0.7954548474780461,0.31428571428571433
South,Fine HF,2.0,0.7954548474780461,0.31428571428571433
South,Fine HF,3.0,0.8046508572754801,0.4666666666666666
South,Fine HF,4.0,0.8046508572754801,0.3833333333333333
South,Fine HF,5.0,0.7954548474780461,0.45999999999999996
South,Fine HF,6.0,0.8584564381571795,0.4666666666666666
South,Fine HF,7.0,0.8584564381571795,0.4666666666666666
South,Fine HF,8.0,0.8715963140583688,0.5499999999999998
South,Fine HF,9.0,0.8715963140583688,0.5499999999999998
South,Fine HF,10.0,0.8949864993553575,0.55
South,Fine HF,12.0,0.9333949944395569,0.55
South,Fine HF,14.0,0.7954548474780461,0.55
South,Coarse LF,1.0,0.33257489473208984,0.25
South,Coarse LF,2.0,0.33257489473208984,0.25
South,Coarse LF,3.0,0.3416865356836539,0.45
South,Coarse LF,4.0,0.3416865356836539,0.3409090909090909
South,Coarse LF,5.0,0.4965844318602437,0.5499999999999999
South,Coarse LF,6.0,0.5512542775696284,0.5499999999999999
South,Coarse LF,7.0,0.5421426366180642,0.5785714285714285
South,Coarse LF,8.0,0.5421426366180642,0.5785714285714285
South,Coarse LF,9.0,0.5512542775696284,0.5785714285714285
South,Coarse LF,10.0,0.5818181818181819,0.6
South,Coarse LF,12.0,0.5818181818181819,0.6833333333333335
South,Coarse LF,14.0,0.5877008413758847,0.6833333333333335
South,Coarse HF,1.0,0.35616809668223404,0.3227272727272727
South,Coarse HF,2.0,0.35616809668223404,0.3227272727272727
South,Coarse HF,3.0,0.3653006119817785,0.44000000000000006
South,Coarse HF,4.0,0.3653006119817785,0.39999999999999947
South,Coarse HF,5.0,0.5205533720740344,0.5071428571428571
South,Coarse HF,6.0,0.5649217389969745,0.5071428571428571
South,Coarse HF,7.0,0.5616496909219845,0.55
South,Coarse HF,8.0,0.5558100980454104,0.55
South,Coarse HF,9.0,0.5753484638713012,0.55
South,Coarse HF,10.0,0.5922566618516668,0.575
South,Coarse HF,12.0,0.5981797521201623,0.6749999999999999
South,Coarse HF,14.0,0.601368302803231,0.6749999999999999
